#: table_doi: 10.17182/hepdata.95230.v1/t14
#: name: Table 14
#: description: Distributions of $\xi^{\mathrm{trk,Z}}_{\mathrm{T}}$ in 0-30% centrality PbPb collisions at 5.02 TeV.
#: data_file: data14.yaml
#: keyword reactions: PB PB --> Z JET
#: keyword observables: 1/N(Z) * DN(TRKZ))/DXI_T_(TRKZ)
#: keyword cmenergies: 5020.0
#: keyword phrases: 
#: RE,,,PB PB --> Z JET
#: SQRT(s)/NUCLEON [GEV],,,5020
#: CENTRALITY,,,0 - 30%
#: PT(Z) [GEV/C],,,> 30
#: PT(TRK) [GEV/C],,,> 1
XI_T_(TRKZ),XI_T_(TRKZ) LOW,XI_T_(TRKZ) HIGH,1/N(Z) * DN(TRKZ))/DXI_T_(TRKZ) PBPB,stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0196,0.0043,-0.0043,0.0028,-0.0028
0.75,0.5,1.0,0.0598,0.0083,-0.0083,0.0057,-0.0057
1.25,1.0,1.5,0.157,0.015,-0.015,0.012,-0.012
1.75,1.5,2.0,0.4,0.029,-0.029,0.026,-0.026
2.25,2.0,2.5,0.875,0.08,-0.08,0.053,-0.053
2.75,2.5,3.0,1.673,0.241,-0.241,0.097,-0.097
3.25,3.0,3.5,3.81,0.47,-0.47,0.25,-0.25
3.75,3.5,4.0,2.78,0.42,-0.42,0.24,-0.24
4.25,4.0,4.5,1.13,0.25,-0.25,0.12,-0.12
4.75,4.5,5.0,0.484,0.136,-0.136,0.064,-0.064

