#: table_doi: 10.17182/hepdata.95877.v1/t2
#: name: Fig2a
#: description: Integrated per-trigger yields and I_AA vs xi
#: data_file: Fig2a_binned.yaml
#: keyword reactions: AU AU --> CHARGED X | DEUT AU --> CHARGED X | CU CU --> CHARGED X
#: keyword cmenergies: 62.4-200.0
#: $\xi$,,,0-40% Au+AU
$\xi$,$\xi$ LOW,$\xi$ HIGH,Per-trig.Yield,stat +,stat -,sys +,sys -
0.2,0.0,0.4,0.00282,0.00411,-0.00411,0.00437,-0.00437
0.6000000000000001,0.4,0.8,0.0239,0.00735,-0.00735,0.00994,-0.00994
1.0,0.8,1.2,0.149,0.0209,-0.0209,0.0334,-0.0334
1.4,1.2,1.6,0.287,0.0452,-0.0452,0.0781,-0.0781
1.8,1.6,2.0,0.593,0.0736,-0.0736,0.0799,-0.0799
2.2,2.0,2.4,0.757,0.18,-0.18,0.194,-0.194

#: $\xi$,,,p+p
$\xi$,$\xi$ LOW,$\xi$ HIGH,Per-trig.Yield,stat +,stat -,sys +,sys -
0.2,0.0,0.4,0.0163,0.00278,-0.00278,0.0,-0.0
0.6000000000000001,0.4,0.8,0.0687,0.00523,-0.00523,0.00129,-0.00129
1.0,0.8,1.2,0.141,0.00879,-0.00879,0.00399,-0.00399
1.4,1.2,1.6,0.181,0.0137,-0.0137,0.00792,-0.00792
1.8,1.6,2.0,0.336,0.0208,-0.0208,0.0142,-0.0142
2.2,2.0,2.4,0.645,0.0553,-0.0553,0.0183,-0.0183

