#: table_doi: 10.17182/hepdata.80817.v1/t12
#: name: Table 12
#: description: $\xi^\gamma_{\mathrm{T}}$ distributions for jets associated with an isolated photon in pp and 0-10% centrality PbPb collisions. The resolutions of the measured jet energy and azimuthal angle in pp are smeared to match those in the PbPb sample.
#: data_file: data12.yaml
#: data_license:   
#: keyword reactions: P P --> GAMMA JET | PB PB --> GAMMA JET
#: keyword observables: 1/N(JET) * DN(TRK))/DXI_T_(GAMMA)
#: keyword cmenergies: 5020.0
#: keyword phrases: 
#: RE,,,P P --> GAMMA JET PB PB --> GAMMA JET
#: CENTRALITY,,,0 - 10%
#: PT(GAMMA) [GEV/C],,,> 60
#: |ETA(GAMMA)|,,,< 1.44
#: DELTA(PHI_JGAMMA),,,> 7 * PI / 8
#: JET ALGO,,,ANTI-K_T JET R = 0.3
#: PT(JET) [GEV/C],,,> 30
#: |ETA(JET)|,,,< 1.6
#: PT(TRK) [GEV/C],,,> 1
XI_T_(GAMMA),XI_T_(GAMMA) LOW,XI_T_(GAMMA) HIGH,1/N(JET) * DN(TRK))/XI_T_(GAMMA) PP smeared,stat +,stat -,sys +,sys -
0.75,0.5,1.0,0.215,0.008,-0.008,0.009,-0.009
1.25,1.0,1.5,0.595,0.012,-0.012,0.026,-0.026
1.75,1.5,2.0,1.13,0.017,-0.017,0.048,-0.048
2.25,2.0,2.5,1.65,0.02,-0.02,0.069,-0.069
2.75,2.5,3.0,2.07,0.023,-0.023,0.09,-0.09
3.25,3.0,3.5,2.18,0.023,-0.023,0.104,-0.104
3.75,3.5,4.0,1.86,0.022,-0.022,0.1,-0.1
4.25,4.0,4.5,1.11,0.017,-0.017,0.068,-0.068

#: RE,,,P P --> GAMMA JET PB PB --> GAMMA JET
#: CENTRALITY,,,0 - 10%
#: PT(GAMMA) [GEV/C],,,> 60
#: |ETA(GAMMA)|,,,< 1.44
#: DELTA(PHI_JGAMMA),,,> 7 * PI / 8
#: JET ALGO,,,ANTI-K_T JET R = 0.3
#: PT(JET) [GEV/C],,,> 30
#: |ETA(JET)|,,,< 1.6
#: PT(TRK) [GEV/C],,,> 1
XI_T_(GAMMA),XI_T_(GAMMA) LOW,XI_T_(GAMMA) HIGH,1/N(JET) * DN(TRK))/XI_T_(GAMMA) PBPB,stat +,stat -,sys +,sys -
0.75,0.5,1.0,0.125,0.026,-0.026,0.02,-0.02
1.25,1.0,1.5,0.379,0.041,-0.041,0.054,-0.054
1.75,1.5,2.0,0.897,0.057,-0.057,0.11,-0.11
2.25,2.0,2.5,1.3,0.073,-0.073,0.141,-0.141
2.75,2.5,3.0,1.68,0.097,-0.097,0.206,-0.206
3.25,3.0,3.5,2.5,0.171,-0.171,0.306,-0.306
3.75,3.5,4.0,3.08,0.295,-0.295,0.395,-0.395
4.25,4.0,4.5,2.21,0.312,-0.312,0.32,-0.32

