#Pb+Pb collisions at 5.02 TeV, 0-30%; pqcd nlo
#zt_low	zt		zt_high	DAA_min		DAA_median	DAA_max
0.15	0.175	0.2		1.4516E+00	1.7272E+00	1.9441E+00
0.2		0.25	0.3		6.7881E-01	7.6407E-01	9.5076E-01
0.3		0.35	0.4		2.5239E-01	2.9108E-01	3.6686E-01
0.4		0.5		0.6		8.3080E-02	9.2226E-02	1.1216E-01
0.6		0.7		0.8		2.1739E-02	2.3562E-02	3.1218E-02
0.8		0.9		1		6.1403E-03	7.8819E-03	9.4191E-03
0.6		0.8		1		1.4473E-02	1.5697E-02	1.8857E-02

#30-50%;
#zt_low zt		zt_high DAA_min     DAA_median  DAA_max
0.15	0.175	0.2		2.1800E+00	2.5567E+00	2.7386E+00
0.2		0.25	0.3		9.3585E-01	1.1874E+00	1.2826E+00
0.3		0.35	0.4		3.7992E-01	4.9657E-01	5.2646E-01
0.4		0.5		0.6		1.2697E-01	1.5422E-01	1.6267E-01
0.6		0.7		0.8		3.4364E-02	3.9516E-02	4.5118E-02
0.8		0.9		1		1.1505E-02	1.3581E-02	1.4409E-02
0.6		0.8		1		2.4212E-02	2.6681E-02	2.9416E-02

#50-90%;
#zt_low zt      zt_high DAA_min     DAA_median  DAA_max
0.15	0.175	0.2		2.8328E+00	2.9136E+00	3.2640E+00
0.2		0.25	0.3		1.3028E+00	1.4174E+00	1.5442E+00
0.3		0.35	0.4		5.2144E-01	6.2983E-01	7.0177E-01
0.4		0.5		0.6		1.9144E-01	2.0894E-01	2.2514E-01
0.6		0.7		0.8		5.2549E-02	5.8313E-02	6.1767E-02
0.8		0.9		1		1.7242E-02	1.8742E-02	1.9941E-02
0.6		0.8		1		3.5570E-02	3.9826E-02	4.0894E-02
