#PbPb-->gam+had, \sqrt{s_{\rm NN}}=5.02 TeV, only CNM effect, 18<pt^{\rm trig}<40 GeV/c
#mu=0.7pT^{\rm trig}
#zt_low	zt	zt_high	    Dpp	        DAA	        IAA
0.1	    0.125	0.15	5.942E+00	6.352E+00	1.0690 
0.15	0.175	0.2	    3.048E+00	3.144E+00	1.0315 
0.2	    0.25	0.3	    1.621E+00	1.675E+00	1.0335 
0.3	    0.35	0.4	    6.578E-01	6.794E-01	1.0328 
0.4	    0.5	    0.6	    2.293E-01	2.430E-01	1.0597 
0.6	    0.7	    0.8	    6.322E-02	6.579E-02	1.0407 
0.8	    0.9	    1	    2.089E-02	2.259E-02	1.0817 
#average value added by Carolina
0.6     0.8     1       4.206E-02    4.419E-2    1.0612

#mu=1.2pT^{\rm trig}
#zt_low	zt	zt_high	    Dpp	        DAA	        IAA
0.1	    0.125	0.15	5.425E+00	5.690E+00	1.0488 
0.15    0.175	0.2	    2.837E+00	2.980E+00	1.0503 
0.2	    0.25	0.3	    1.299E+00	1.396E+00	1.0750 
0.3	    0.35	0.4	    5.989E-01	6.194E-01	1.0342 
0.4	    0.5	    0.6	    1.921E-01	2.049E-01	1.0665 
0.6	    0.7	    0.8	    5.161E-02	5.468E-02	1.0595 
0.8	    0.9	    1	    1.785E-02	1.888E-02	1.0577 
#average value added by Carolina
0.6     0.8     1       3.473E-02   3.678E-02   1.0586

#mu=2.0pT^{\rm trig}
#zt_low	zt	zt_high	    Dpp	        DAA	        IAA
0.1	    0.125	0.15	5.193E+00	5.597E+00	1.0778 
0.15	0.175	0.2	    2.525E+00	2.709E+00	1.0728 
0.2	    0.25	0.3	    1.214E+00	1.307E+00	1.0768 
0.3	    0.35	0.4	    4.780E-01	5.110E-01	1.0691 
0.4	    0.5	    0.6	    1.652E-01	1.756E-01	1.0632 
0.6	    0.7	    0.8	    4.251E-02	4.514E-02	1.0619 
0.8	    0.9	    1	    1.262E-02	1.358E-02	1.0761 
#average value added by Carolina
0.6     0.8     1       2.7565E-02  2.936E-02   1.069
