#Pb+Pb collisions at 5.02 TeV, 0-10%;
#zt_low	zt	zt_high	DAA_min	DAA_median	DAA_max
0.15	0.175	0.2	1.045E+00	1.156E+00	1.280E+00
0.2	0.25	0.3	4.308E-01	4.932E-01	5.631E-01
0.3	0.35	0.4	1.715E-01	1.814E-01	2.272E-01
0.4	0.5	0.6	5.224E-02	5.830E-02	6.642E-02
0.6	0.7	0.8	1.491E-02	1.644E-02	1.736E-02
0.8	0.9	1	4.499E-03	5.364E-03	6.358E-03

#10-20%;
#zt_low	zt	zt_high	DAA_min	DAA_median	DAA_max
0.15	0.175	0.2	1.297E+00	1.398E+00	1.611E+00
0.2	0.25	0.3	5.543E-01	5.847E-01	6.824E-01
0.3	0.35	0.4	2.222E-01	2.441E-01	2.697E-01
0.4	0.5	0.6	6.998E-02	7.671E-02	8.347E-02
0.6	0.7	0.8	1.700E-02	2.028E-02	2.329E-02
0.8	0.9	1	5.608E-03	6.899E-03	7.905E-03

#20-30%;
#zt_low	zt	zt_high	DAA_min	DAA_median	DAA_max
0.15	0.175	0.2	1.605E+00	1.687E+00	1.798E+00
0.2	0.25	0.3	7.137E-01	7.604E-01	8.075E-01
0.3	0.35	0.4	2.550E-01	3.096E-01	3.251E-01
0.4	0.5	0.6	8.234E-02	8.950E-02	1.000E-01
0.6	0.7	0.8	2.181E-02	2.279E-02	2.545E-02
0.8	0.9	1	6.841E-03	7.437E-03	8.539E-03

#30-50%;
#zt_low	zt	zt_high	DAA_min	DAA_median	DAA_max
0.15	0.175	0.2	1.869E+00	2.079E+00	2.240E+00
0.2	0.25	0.3	8.422E-01	9.057E-01	9.693E-01
0.3	0.35	0.4	3.374E-01	3.970E-01	4.251E-01
0.4	0.5	0.6	1.105E-01	1.207E-01	1.330E-01
0.6	0.7	0.8	2.763E-02	3.207E-02	3.533E-02
0.8	0.9	1	8.244E-03	9.745E-03	1.135E-02

#50-70%
#zt_low	zt	zt_high	DAA_min	DAA_median	DAA_max
0.15	0.175	0.2	2.419E+00	2.463E+00	2.672E+00
0.2	0.25	0.3	1.054E+00	1.109E+00	1.178E+00
0.3	0.35	0.4	4.382E-01	5.012E-01	5.288E-01
0.4	0.5	0.6	1.434E-01	1.632E-01	1.670E-01
0.6	0.7	0.8	3.847E-02	4.337E-02	4.451E-02
0.8	0.9	1	1.282E-02	1.326E-02	1.469E-02

#70-90%
#zt_low	zt	zt_high	DAA_min	DAA_median	DAA_max
0.15	0.175	0.2	2.614E+00	2.752E+00	2.760E+00
0.2	0.25	0.3	1.212E+00	1.246E+00	1.293E+00
0.3	0.35	0.4	5.314E-01	5.571E-01	5.798E-01
0.4	0.5	0.6	1.729E-01	1.836E-01	1.885E-01
0.6	0.7	0.8	4.647E-02	4.902E-02	5.068E-02
0.8	0.9	1	1.565E-02	1.689E-02	1.731E-02
