#Pb+Pb collisions at 5.02 TeV, 0-30%;
#zt_low	zt	zt_high	IAA_min	IAA_median	IAA_max
0.15	0.175	0.2	0.4431 	0.4788 	0.5339 
0.2	0.25	0.3	0.4136 	0.4524 	0.5105 
0.3	0.35	0.4	0.3406 	0.3924 	0.4487 
0.4	0.5	0.6	0.3401 	0.3742 	0.4177 
0.6	0.7	0.8	0.3281 	0.3707 	0.4138 
0.8	0.9	1	0.3001 	0.3554 	0.4127 

#30-50%;
#zt_low	zt	zt_high	IAA_min	IAA_median	IAA_max
0.15	0.175	0.2	0.6587 	0.7329 	0.7895 
0.2	0.25	0.3	0.6483 	0.6973 	0.7462 
0.3	0.35	0.4	0.5633 	0.6628 	0.7098 
0.4	0.5	0.6	0.5754 	0.6284 	0.6924 
0.6	0.7	0.8	0.5354 	0.6213 	0.6846 
0.8	0.9	1	0.4619 	0.5460 	0.6360 

#50-90%;
#zt_low	zt	zt_high	IAA_min	IAA-median	IAA_max
0.15	0.175	0.2	0.8582 	0.8808 	0.9496 
0.2	0.25	0.3	0.8263 	0.8667 	0.9182 
0.3	0.35	0.4	0.7486 	0.8483 	0.8934 
0.4	0.5	0.6	0.7640 	0.8624 	0.8830 
0.6	0.7	0.8	0.7633 	0.8539 	0.8775 
0.8	0.9	1	0.7366 	0.7711 	0.8459 
